Date,Open,High,Low,Close,Adj Close,Volume
2021-09-20,21.146000,21.433001,20.662001,21.113001,21.078621,349440000
2021-09-21,21.417000,21.424999,20.950001,21.246000,21.211405,204688000
2021-09-22,21.365999,21.959999,21.195999,21.941000,21.905273,268726000
2021-09-23,22.139999,22.535000,21.889999,22.482000,22.445391,248555000
2021-09-24,22.070000,22.149000,21.861000,22.080999,22.045042,217655000
2021-09-27,21.709999,21.799000,21.325001,21.660000,21.624731,245215000
2021-09-28,21.214001,21.419001,20.650999,20.698999,20.665291,343069000
2021-09-29,20.940001,21.017000,20.466999,20.517000,20.483593,218394000
2021-09-30,20.768000,21.066000,20.688000,20.716000,20.682266,221009000
2021-10-01,20.750000,20.858999,20.202999,20.742001,20.708225,240978000
2021-10-04,20.504000,20.542000,19.555000,19.732000,19.699869,345635000
2021-10-05,19.950001,20.648001,19.854000,20.451000,20.417698,279282000
2021-10-06,20.120001,20.719999,20.080000,20.700001,20.666292,297202000
2021-10-07,21.091999,21.322001,20.972000,21.075001,21.040684,256919000
2021-10-08,21.101000,21.205999,20.775000,20.830999,20.797081,151258000
2021-10-11,20.575001,21.063000,20.511000,20.695000,20.661301,163388000
2021-10-12,20.827999,21.056999,20.528000,20.671000,20.637337,162134000
2021-10-13,20.917999,20.990000,20.712999,20.938999,20.904902,180652000
2021-10-14,21.288000,21.754999,21.122000,21.746000,21.710585,243589000
2021-10-15,21.809999,21.931000,21.662001,21.862000,21.826399,226994000
2021-10-18,21.749001,22.291000,21.643999,22.222000,22.185814,189494000
2021-10-19,22.275999,22.379000,22.037001,22.290001,22.253706,161473000
2021-10-20,22.305000,22.433001,21.982000,22.103001,22.067011,146276000
2021-10-21,22.097000,22.711000,22.083000,22.691999,22.655045,187590000
2021-10-22,22.823000,23.129999,22.561001,22.726000,22.688995,249384000
2021-10-25,22.973000,23.355000,22.770000,23.166000,23.128277,230235000
2021-10-26,23.989000,25.259001,23.924000,24.716999,24.676748,485898000
2021-10-27,24.474001,25.090000,24.282000,24.451000,24.411186,245990000
2021-10-28,24.878000,24.950001,24.523001,24.941000,24.900383,234204000
